page,title,url,description,etoiles,last_updated
1,kairess/mental-health-chatbot,https://github.com/kairess/mental-health-chatbot,"kairess/mental-health-chatbot심리상담 정신건강 상담 챗봇.AIchatbot for psychology consultation.Jupyter Notebook·55·Updatedon May 30, 2023",55,"on May 30, 2023"
1,jahnavik186/AI-Mental-Health-Companion,https://github.com/jahnavik186/AI-Mental-Health-Companion,"jahnavik186/AI-Mental-Health-CompanionAn intelligent, interactivementalhealthcompanion that uses Large Language Models (LLMs) combined with RAG to provide context-awarementalPython·21·Updatedon Nov 19, 2025",21,"on Nov 19, 2025"
1,PoyBoi/MindEase,https://github.com/PoyBoi/MindEase,"PoyBoi/MindEaseAIbasedMentalHealthCounsellor /MentalHealthAssistantmental-healthcounsellormental-health-assistantmental-health-chatbotmental-health-counsellorPython·45·Updatedon May 26, 2025",45,"on May 26, 2025"
1,Shivam1337/MindCrafter,https://github.com/Shivam1337/MindCrafter,"Shivam1337/MindCrafterAI& ML BasedMentalHealthDiagnosis & Consulting App.javadartmachine-learningtensorflowflutterDart·90·Updatedon Nov 25, 2022",90,"on Nov 25, 2022"
1,RCTS-IIITH/AI-Assisted-Mental-Health-Screening-Application,https://github.com/RCTS-IIITH/AI-Assisted-Mental-Health-Screening-Application,"RCTS-IIITH/AI-Assisted-Mental-Health-Screening-ApplicationTo expand the scope of existingmentalhealthscreening questionnaires by creating a Chat Bot styled testing application, allowing for en…JavaScript·5·Updatedon Sep 4, 2025",5,"on Sep 4, 2025"
1,dhrumilp12/Mental-Health-Companion,https://github.com/dhrumilp12/Mental-Health-Companion,"dhrumilp12/Mental-Health-CompanionThis app would providementalhealthsupport through conversationalAI, offering personalized advice, mood tracking, andmentalhealthre…JavaScript·25·Updatedon Oct 21, 2024",25,"on Oct 21, 2024"
1,mujiyantosvc/Facial-Expression-Recognition-FER-for-Mental-Health-Detection-,https://github.com/mujiyantosvc/Facial-Expression-Recognition-FER-for-Mental-Health-Detection-,"mujiyantosvc/Facial-Expression-Recognition-FER-for-Mental-Health-Detection-Facial Expression Recognition (FER) forMentalHealthDetection appliesAImodels like Swin Transformer, CNN, and ViT for detecting emot…computer-visiondeep-learningtransformerfacial-recognitiontransfer-learningPython·36·Updatedon Jan 30, 2025",36,"on Jan 30, 2025"
1,SherazAsghar37/ai_mental_health,https://github.com/SherazAsghar37/ai_mental_health,"SherazAsghar37/ai_mental_healthDart·14·Updatedon Mar 23, 2025",14,"on Mar 23, 2025"
1,galihru/MentalHealth,https://github.com/galihru/MentalHealth,galihru/MentalHealthA comprehensivementalhealthmonitoring application using modern web technologies.aideep-learningesp32arduino-ideandroid-applicationHTML·21·Updated41 minutes ago,21,41 minutes ago
1,Sanjana-Rajagopala/AI_Healthcare_Chatbot,https://github.com/Sanjana-Rajagopala/AI_Healthcare_Chatbot,"Sanjana-Rajagopala/AI_Healthcare_ChatbotCreated a chatbot that acts as virtual healthcare assistant to patients withmentalhealthproblems.26·Updatedon May 24, 2018",26,"on May 24, 2018"
2,ZenYukti/OpenMindWell,https://github.com/ZenYukti/OpenMindWell,"ZenYukti/OpenMindWellAI-poweredmentalhealthsupport platform with anonymous chat, crisis detection, and peer support - Self-hosted & open source by Team Zen…typescriptaireactjsexpressjshealthcareTypeScript·48·Updatedon Feb 17",48,on Feb 17
